datetime,location,direction,latitude,longitude,NO2_mean,avg_temperature
2024-01-01 00:00:00,East City,East,35.71319304168724,139.7601225061633,24.5,21.61
2024-01-01 01:00:00,South City,South,34.02315609329882,-118.26995849035892,32.79,25.07
2024-01-01 02:00:00,North City,North,40.5908447092472,-73.9758279387481,44.62,28.77
2024-01-01 03:00:00,West City,West,51.580682438446075,-0.1390888150243268,20.92,8.11
2024-01-01 04:00:00,East City,East,35.74621696327513,139.68646272258476,31.42,17.76
2024-01-01 05:00:00,East City,East,35.70405170006311,139.65992201298627,24.0,24.63
2024-01-01 06:00:00,East City,East,35.67109145293283,139.71047823169204,39.49,29.07
2024-01-01 07:00:00,North City,North,40.72324317975024,-74.10398350619398,38.23,9.45
2024-01-01 08:00:00,South City,South,34.043385716903714,-118.18365536140253,25.39,18.47
2024-01-01 09:00:00,South City,South,34.00174573285674,-118.32286471067685,32.19,24.17
2024-01-01 10:00:00,South City,South,34.05702082395151,-118.22274489472012,53.41,25.5
2024-01-01 11:00:00,North City,North,40.678953899984705,-73.97541618555796,33.24,15.3
2024-01-01 12:00:00,West City,West,51.54232201296055,-0.11911989681675977,39.31,22.74
2024-01-01 13:00:00,South City,South,34.043313393936465,-118.26421916543431,14.92,25.7
2024-01-01 14:00:00,West City,West,51.530294253849995,-0.21201436891829406,39.5,30.09
2024-01-01 15:00:00,East City,East,35.70756978027542,139.76860182832328,33.62,13.48
2024-01-01 16:00:00,East City,East,35.62046414878639,139.67765968542366,23.85,20.33
2024-01-01 17:00:00,West City,West,51.55257662453129,-0.12684998344689252,15.81,25.3
2024-01-01 18:00:00,East City,East,35.77064602496707,139.73288665384877,38.73,34.01
2024-01-01 19:00:00,West City,West,51.480911989811645,-0.1021366283443322,39.15,20.3
2024-01-01 20:00:00,South City,South,34.0358187408361,-118.28677990271242,26.56,23.26
2024-01-01 21:00:00,South City,South,34.11588668100698,-118.25829763354129,27.43,15.43
2024-01-01 22:00:00,North City,North,40.64730246563938,-73.85881682917594,21.3,14.45
2024-01-01 23:00:00,North City,North,40.7047357144167,-73.98579745715928,26.57,12.38
2024-01-02 00:00:00,West City,West,51.50662583299941,-0.12916882227925794,9.08,26.85
2024-01-02 01:00:00,West City,West,51.45377340827822,-0.17742930897015952,29.81,6.29
2024-01-02 02:00:00,North City,North,40.77465080364682,-74.07732394423628,25.58,17.41
2024-01-02 03:00:00,South City,South,34.10934114072575,-118.20610334836566,29.65,9.82
2024-01-02 04:00:00,East City,East,35.70730799151947,139.69060595628306,37.28,13.67
2024-01-02 05:00:00,South City,South,34.02752837588983,-118.1975418695829,21.19,18.54
2024-01-02 06:00:00,South City,South,33.99736238507114,-118.27781507819601,37.9,21.02
2024-01-02 07:00:00,South City,South,33.9990848143137,-118.22002037846825,14.49,18.48
2024-01-02 08:00:00,North City,North,40.73689895695015,-73.95967718206899,34.28,0.71
2024-01-02 09:00:00,North City,North,40.76499303054594,-73.97967759193327,26.43,21.89
2024-01-02 10:00:00,North City,North,40.76282428038811,-73.99837895688704,12.89,18.83
2024-01-02 11:00:00,East City,East,35.715597078280844,139.70654923366166,17.63,8.76
